"","algorithm","iterations","swarm_size","design_pts","problem","obj_value","time"
"111","DE",200,20,3,"3",6.23301480097293,0.735280990600586
"112","DE",200,20,3,"4",-2.86856699046985,0.53740382194519
"113","DE",200,20,3,"5",-3.5339507671083,0.646619081497192
"114","DE",200,20,3,"6",-74.2364103073232,0.825950384140015
"115","DE",200,20,4,"1",-1.14560218885193,0.590885162353516
"116","DE",200,20,4,"2",-7.71281974156683,0.598925590515137
"117","DE",200,20,4,"3",34.0023140388241,0.67478084564209
"118","DE",200,20,4,"4",-0.388882183019829,0.564305782318115
"119","DE",200,20,4,"5",-3.61272643445144,0.648633718490601
"120","DE",200,20,4,"6",-39.5479262782458,0.722911834716797
"121","DE",200,20,5,"1",-1.19213821202779,0.584901571273804
"122","DE",200,20,5,"2",-7.59448384238502,0.592408895492554
"123","DE",200,20,5,"3",33.9772327735271,0.714380025863647
"124","DE",200,20,5,"4",-2.08753449353199,0.480357646942139
"125","DE",200,20,5,"5",-3.63083158066335,0.617067813873291
"126","DE",200,20,5,"6",-39.813311538869,0.865150451660156
"127","DE",200,50,3,"1",-1.12610880046782,1.1031231880188
"128","DE",200,50,3,"2",-7.57961792448532,1.09705471992493
"129","DE",200,50,3,"3",6.82313758082491,1.4478132724762
"130","DE",200,50,3,"4",-0.298362023408441,1.12928223609924
"131","DE",200,50,3,"5",-3.61244887785698,1.33139371871948
"132","DE",200,50,3,"6",-62.9752370208385,1.71401381492615
"133","DE",200,50,4,"1",-1.16595139238639,1.16939163208008
"134","DE",200,50,4,"2",-7.65357066745563,1.14582753181458
"135","DE",200,50,4,"3",33.9681996824344,1.45903134346008
"136","DE",200,50,4,"4",-0.322656886502349,1.21235585212708
"137","DE",200,50,4,"5",-3.5853321315237,1.32762384414673
"138","DE",200,50,4,"6",-39.5277338169154,1.63119840621948
"139","DE",200,50,5,"1",-1.17685165557161,1.19627118110657
"140","DE",200,50,5,"2",-7.65142276911049,1.23047375679016
"141","DE",200,50,5,"3",34.0024272045621,1.42600536346436
"142","DE",200,50,5,"4",-0.915791574850054,1.18226647377014
"143","DE",200,50,5,"5",-3.65768437400934,1.38846302032471
"144","DE",200,50,5,"6",-43.3679710869532,1.01706552505493
"145","DE",200,100,3,"1",-1.12624229738477,2.02252316474915
"146","DE",200,100,3,"2",-7.63036387850999,2.00681161880493
"147","DE",200,100,3,"3",6.83714823645403,2.66576719284058
"148","DE",200,100,3,"4",-0.399115278222569,2.11364412307739
"149","DE",200,100,3,"5",-3.528730742085,2.30440068244934
"150","DE",200,100,3,"6",-62.6743933724802,3.04987239837646
"151","DE",200,100,4,"1",-1.13448390830333,2.11302924156189
"152","DE",200,100,4,"2",-7.56757058992787,2.27352643013
"153","DE",200,100,4,"3",33.9770232106067,2.54032373428345
"154","DE",200,100,4,"4",-0.36479721502767,2.09167313575745
"155","DE",200,100,4,"5",-3.62265362312165,2.40871047973633
"156","DE",200,100,4,"6",-39.5591909381232,2.83636569976807
"157","DE",200,100,5,"1",-1.22792256184334,2.2918553352356
"158","DE",200,100,5,"2",-7.64454906529398,2.30681347846985
"159","DE",200,100,5,"3",33.9700992768471,2.67828416824341
"160","DE",200,100,5,"4",-0.480966119412583,1.92153596878052
"161","DE",200,100,5,"5",-3.57906341971921,2.467524766922
"162","DE",200,100,5,"6",-39.9382333966164,3.11402702331543
"163","DE",500,20,3,"1",-1.12591196450662,1.14289951324463
"164","DE",500,20,3,"2",-7.57854610542996,1.11908960342407
"165","DE",500,20,3,"3",6.8847814901811,1.51415944099426
"166","DE",500,20,3,"4",-0.291227924155004,1.17455863952637
"167","DE",500,20,3,"5",-3.5266572078039,1.36099791526794
"168","DE",500,20,3,"6",-66.371172425517,1.67406964302063
"169","DE",500,20,4,"1",-1.12602720766386,1.22598171234131
"170","DE",500,20,4,"2",-7.51113468704088,1.20373177528381
"171","DE",500,20,4,"3",34.0249389850227,1.40719485282898
"172","DE",500,20,4,"4",-0.291330926566637,1.19756960868835
"173","DE",500,20,4,"5",-3.5269375210358,1.35209202766418
"174","DE",500,20,4,"6",-39.5056851449129,1.5773618221283
"175","DE",500,20,5,"1",-1.12748171760158,1.36886739730835
"176","DE",500,20,5,"2",-7.51423811866881,1.30235981941223
"177","DE",500,20,5,"3",34.0082486784867,1.54545187950134
"178","DE",500,20,5,"4",-0.296664028931088,1.25441646575928
